Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Garden Estate, Roysambu",townhouse,4,5.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,6.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,6.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
"Runda, Westlands",house,4,5.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Karen,house,4,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Kiambu Road,house,4,5.0,,73000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Karen,house,5,4.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Kiambu Road,townhouse,4,4.0,,32000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Runda, Westlands",townhouse,4,4.0,,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Runda, Westlands",house,4,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Karen,house,4,5.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Kileleshwa,townhouse,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,villa,5,5.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Runda, Westlands",house,6,6.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Waiyaki Way, Westlands",townhouse,4,5.0,,29000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Karen,villa,5,6.0,,190000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
South C,house,4,2.0,,20500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,4,5.0,,168000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,6,7.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,villa,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,6,7.0,,86000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
Lavington,townhouse,5,5.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Runda, Westlands",house,5,6.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5
"Runda, Westlands",townhouse,5,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,house,9,9.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,townhouse,4,4.0,,58000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Kileleshwa,townhouse,4,4.0,,76000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Kileleshwa,townhouse,4,5.0,,73000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Nyari, Westlands",house,4,,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Gigiri, Westlands",house,5,6.0,,185000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,villa,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Spring Valley, Westlands",townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,townhouse,5,,,72000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Thigiri, Westlands",house,5,,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Riverside, Westlands",villa,5,5.0,7.000 ft²,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Karen,villa,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Langata,townhouse,4,,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,townhouse,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,townhouse,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,house,5,5.0,"0,8 m²",350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
"Loresho, Westlands",villa,5,5.0,,104000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Karen,house,5,5.0,,190000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,house,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,villa,5,5.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6
Lavington,villa,5,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,villa,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,villa,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,villa,5,5.0,3.498 m²,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,villa,5,5.0,7.500 ft²,167000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,6.0,,440000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Ridgeways,house,5,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Buruburu,townhouse,4,3.0,120 m²,15900000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
"Loresho, Westlands",house,4,4.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,villa,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
"Nyari, Westlands",house,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
"Westlands Area, Westlands",house,4,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
"Runda, Westlands",house,5,7.0,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Karen,villa,5,5.0,650 m²,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
"Runda, Westlands",house,4,4.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Kiambu Road,house,4,5.0,5.000 ft²,34500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7
