Location,Property Type,Bedrooms,Bathrooms,Size,Amenities,Price,Listing Date,Source_URL,Scrape_Date
,townhouse,5,5,,Lavington,78000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,5,,Lavington,98000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,house,5,5,,Karen,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,4,2,,Buruburu,10000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,3,2,,Lavington,22000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,5,,Lavington,65000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,3,,Lavington,40000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,5,5,,"Runda, Westlands",120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,4,157 m²,Kiambu Road,22000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,3,3,3.500 ft²,"Brookside, Westlands",48000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,villa,5,6,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,6,,Lavington,81000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,6,7,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,villa,5,6,,Lavington,80000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,5,5.920 ft²,Karen,105000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,5,,Lavington,55000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,5,6,,Karen,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,6,,Karen,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,4,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,4,5,,"Garden Estate, Roysambu",90000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,6,,Lavington,98000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,5,6,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,5,,"Runda, Westlands",98000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,5,,Karen,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,4,5,,Kiambu Road,73000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,house,5,4,,Karen,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,2026-02-18
,townhouse,4,4,,Kiambu Road,32000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,4,4,,"Runda, Westlands",42000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,house,4,5,,"Runda, Westlands",95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,house,4,5,,Karen,80000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,6,,Kileleshwa,80000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,villa,5,5,,Lavington,220000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,house,6,6,,"Runda, Westlands",155000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,4,5,,"Waiyaki Way, Westlands",29000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,6,7,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,villa,5,6,,Karen,190000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,house,4,2,,South C,20500000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,6,,Lavington,135000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,4,5,,Lavington,168000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,6,7,,Lavington,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,5,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,5,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,villa,5,6,,Lavington,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,6,7,,Lavington,86000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,6,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,5,,Lavington,90000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,house,5,6,,"Runda, Westlands",350000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,2026-02-18
,townhouse,5,5,,"Runda, Westlands",150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,9,9,,Lavington,350000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,4,4,,Lavington,58000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,4,4,,Kileleshwa,76000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,4,5,,Kileleshwa,73000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,5,5,,Lavington,110000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,4,,,"Nyari, Westlands",120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,5,6,,"Gigiri, Westlands",185000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,5,6,,"Spring Valley, Westlands",110000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,5,,,Lavington,72000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,5,,,"Thigiri, Westlands",125000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,7.000 ft²,"Riverside, Westlands",120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,,Karen,110000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,4,,,Langata,30000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,5,5,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,townhouse,5,5,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,5,5,"0,8 m²",Lavington,350000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,,"Loresho, Westlands",104000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,5,5,,Karen,190000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,house,5,6,,Lavington,100000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,,Lavington,78000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,2026-02-18
,villa,5,5,,Lavington,65000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,5,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,5,3.498 m²,Lavington,55000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,5,7.500 ft²,Lavington,167000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,5,6,,Lavington,440000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,5,4,,Ridgeways,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,4,3,120 m²,Buruburu,15900000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,4,4,,"Loresho, Westlands",105000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,5,6,,Lavington,81000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,6,7,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
