Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Karen,house,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,2500000.0,2
Buruburu,townhouse,4,2.0,,10000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,156250.0,2
Lavington,townhouse,3,2.0,,22000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,343750.0,2
Lavington,townhouse,5,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1015625.0,2
Lavington,house,4,3.0,,40000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,625000.0,2
Runda,house,5,5.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1875000.0,2
Kiambu Road,house,4,4.0,157 m²,22000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,157.0,140127.38853503185,2
Brookside,townhouse,3,3.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,0.3251605,147619406.416216,2
Lavington,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,2500000.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1265625.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1328125.0,2
Lavington,villa,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1250000.0,2
Karen,house,4,5.0,5.920 ft²,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,0.54998576,190914033.84698543,2
Lavington,townhouse,5,5.0,,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,859375.0,2
Karen,house,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,2343750.0,2
Karen,townhouse,5,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,2031250.0,2
Lavington,townhouse,4,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1171875.0,2
Garden Estate,townhouse,4,5.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1406250.0,2
Lavington,townhouse,5,6.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1531250.0,2
Lavington,townhouse,5,6.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1484375.0,2
Runda,house,4,5.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1531250.0,2
Karen,house,4,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1328125.0,2
